2016/07/31 17:03:50 INFO  - jmeter.util.JMeterUtils: Setting Locale to zh_CN 
2016/07/31 17:04:26 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 2 : 商品相关 
2016/07/31 17:04:26 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group 商品相关. 
2016/07/31 17:04:26 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2016/07/31 17:04:26 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 2 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2016/07/31 17:04:26 INFO  - jmeter.threads.ThreadGroup: Started thread group number 2 
2016/07/31 17:04:26 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 3 : App我的 
2016/07/31 17:04:26 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group App我的. 
2016/07/31 17:04:26 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2016/07/31 17:04:26 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 3 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2016/07/31 17:04:26 INFO  - jmeter.threads.ThreadGroup: Started thread group number 3 
2016/07/31 17:04:26 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2016/07/31 17:04:26 INFO  - jmeter.threads.JMeterThread: Thread started: 登录 1-1 
2016/07/31 17:04:26 INFO  - jmeter.protocol.http.sampler.HTTPHCAbstractImpl: Local host = xiaohutudeMacBook-Air.local 
2016/07/31 17:04:26 INFO  - jmeter.protocol.http.sampler.HTTPHC4Impl: HTTP request retry count = 0 
2016/07/31 17:04:28 INFO  - jmeter.threads.JMeterThread: Thread started: App我的 3-1 
2016/07/31 17:04:28 INFO  - jmeter.threads.JMeterThread: Thread started: 商品相关 2-1 
2016/07/31 17:04:30 INFO  - jmeter.threads.JMeterThread: Thread is done: 登录 1-1 
2016/07/31 17:04:30 INFO  - jmeter.threads.JMeterThread: Thread finished: 登录 1-1 
2016/07/31 17:05:29 INFO  - jmeter.gui.action.Start: Stopping test 
2016/07/31 17:05:29 INFO  - jmeter.threads.JMeterThread: Stopping: 商品相关 2-1 
2016/07/31 17:05:29 WARN  - jmeter.threads.JMeterThread: Interrupting: 商品相关 2-1 sampler: 商品: 发布 
2016/07/31 17:05:29 INFO  - jmeter.threads.JMeterThread: Stopping: App我的 3-1 
2016/07/31 17:05:29 WARN  - jmeter.threads.JMeterThread: Interrupting: App我的 3-1 sampler: 我赞过的 
2016/07/31 17:05:29 INFO  - jmeter.threads.JMeterThread: Stopping because end time detected by thread: 商品相关 2-1 
2016/07/31 17:05:29 INFO  - jmeter.threads.JMeterThread: Stopping because end time detected by thread: App我的 3-1 
2016/07/31 17:05:29 INFO  - jmeter.threads.JMeterThread: Thread finished: 商品相关 2-1 
2016/07/31 17:05:29 INFO  - jmeter.threads.JMeterThread: Thread is done: App我的 3-1 
2016/07/31 17:05:29 INFO  - jmeter.threads.JMeterThread: Thread finished: App我的 3-1 
2016/07/31 17:05:29 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2016/07/31 17:05:29 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2016/07/31 17:18:17 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2016/07/31 17:18:17 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2016/07/31 17:18:17 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2016/07/31 17:18:18 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : 登录 
2016/07/31 17:18:18 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group 登录. 
2016/07/31 17:18:18 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2016/07/31 17:18:18 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2016/07/31 17:18:18 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2016/07/31 17:18:18 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 2 : 商品相关 
2016/07/31 17:18:18 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group 商品相关. 
2016/07/31 17:18:18 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2016/07/31 17:18:18 INFO  - jmeter.threads.JMeterThread: Thread started: 登录 1-1 
2016/07/31 17:18:18 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 2 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2016/07/31 17:18:18 INFO  - jmeter.threads.ThreadGroup: Started thread group number 2 
2016/07/31 17:18:18 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 3 : App我的 
2016/07/31 17:18:18 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group App我的. 
2016/07/31 17:18:18 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2016/07/31 17:18:18 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 3 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2016/07/31 17:18:18 INFO  - jmeter.threads.ThreadGroup: Started thread group number 3 
2016/07/31 17:18:18 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2016/07/31 17:18:20 INFO  - jmeter.threads.JMeterThread: Thread started: 商品相关 2-1 
2016/07/31 17:18:20 INFO  - jmeter.threads.JMeterThread: Thread started: App我的 3-1 
2016/07/31 17:18:57 INFO  - jmeter.gui.action.Start: Stopping test 
2016/07/31 17:18:57 INFO  - jmeter.threads.JMeterThread: Stopping: 登录 1-1 
2016/07/31 17:18:57 WARN  - jmeter.threads.JMeterThread: Interrupting: 登录 1-1 sampler: 登录 
2016/07/31 17:18:57 INFO  - jmeter.threads.JMeterThread: Stopping: 商品相关 2-1 
2016/07/31 17:18:57 WARN  - jmeter.threads.JMeterThread: Interrupting: 商品相关 2-1 sampler: 商品: 发布 
2016/07/31 17:18:57 INFO  - jmeter.threads.JMeterThread: Stopping: App我的 3-1 
2016/07/31 17:18:57 WARN  - jmeter.threads.JMeterThread: Interrupting: App我的 3-1 sampler: 我赞过的 
2016/07/31 17:18:57 INFO  - jmeter.threads.JMeterThread: Stopping because end time detected by thread: 商品相关 2-1 
2016/07/31 17:18:57 INFO  - jmeter.threads.JMeterThread: Thread finished: 商品相关 2-1 
2016/07/31 17:18:57 INFO  - jmeter.threads.JMeterThread: Stopping because end time detected by thread: App我的 3-1 
2016/07/31 17:18:57 INFO  - jmeter.threads.JMeterThread: Thread is done: App我的 3-1 
2016/07/31 17:18:57 INFO  - jmeter.threads.JMeterThread: Thread finished: App我的 3-1 
2016/07/31 17:18:57 INFO  - jmeter.threads.JMeterThread: Thread is done: 登录 1-1 
2016/07/31 17:18:57 INFO  - jmeter.threads.JMeterThread: Thread finished: 登录 1-1 
2016/07/31 17:18:57 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2016/07/31 17:18:57 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2016/07/31 17:19:05 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2016/07/31 17:19:05 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2016/07/31 17:19:05 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2016/07/31 17:19:05 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : 登录 
2016/07/31 17:19:05 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group 登录. 
2016/07/31 17:19:05 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2016/07/31 17:19:05 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2016/07/31 17:19:05 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2016/07/31 17:19:05 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 2 : 商品相关 
2016/07/31 17:19:05 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group 商品相关. 
2016/07/31 17:19:05 INFO  - jmeter.threads.JMeterThread: Thread started: 登录 1-1 
2016/07/31 17:19:05 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2016/07/31 17:19:05 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 2 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2016/07/31 17:19:05 INFO  - jmeter.threads.ThreadGroup: Started thread group number 2 
2016/07/31 17:19:05 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 3 : App我的 
2016/07/31 17:19:05 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group App我的. 
2016/07/31 17:19:05 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2016/07/31 17:19:05 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 3 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2016/07/31 17:19:05 INFO  - jmeter.threads.ThreadGroup: Started thread group number 3 
2016/07/31 17:19:05 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2016/07/31 17:19:07 INFO  - jmeter.threads.JMeterThread: Thread started: App我的 3-1 
2016/07/31 17:19:07 INFO  - jmeter.threads.JMeterThread: Thread started: 商品相关 2-1 
2016/07/31 17:20:20 INFO  - jmeter.threads.JMeterThread: Thread is done: 登录 1-1 
2016/07/31 17:20:20 INFO  - jmeter.threads.JMeterThread: Thread finished: 登录 1-1 
2016/07/31 17:20:22 INFO  - jmeter.threads.JMeterThread: Stopping because end time detected by thread: App我的 3-1 
2016/07/31 17:20:22 INFO  - jmeter.threads.JMeterThread: Thread is done: App我的 3-1 
2016/07/31 17:20:22 INFO  - jmeter.threads.JMeterThread: Thread finished: App我的 3-1 
2016/07/31 17:20:22 INFO  - jmeter.threads.JMeterThread: Stopping because end time detected by thread: 商品相关 2-1 
2016/07/31 17:20:22 INFO  - jmeter.threads.JMeterThread: Thread finished: 商品相关 2-1 
2016/07/31 17:20:22 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2016/07/31 17:20:22 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2016/07/31 17:20:58 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2016/07/31 17:20:58 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2016/07/31 17:20:58 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2016/07/31 17:20:58 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : 登录 
2016/07/31 17:20:58 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group 登录. 
2016/07/31 17:20:58 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2016/07/31 17:20:58 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2016/07/31 17:20:58 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2016/07/31 17:20:58 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 2 : 商品相关 
2016/07/31 17:20:58 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group 商品相关. 
2016/07/31 17:20:58 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2016/07/31 17:20:58 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 2 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2016/07/31 17:20:58 INFO  - jmeter.threads.JMeterThread: Thread started: 登录 1-1 
2016/07/31 17:20:58 INFO  - jmeter.threads.ThreadGroup: Started thread group number 2 
2016/07/31 17:20:58 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 3 : App我的 
2016/07/31 17:20:58 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group App我的. 
2016/07/31 17:20:58 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2016/07/31 17:20:58 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 3 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2016/07/31 17:20:58 INFO  - jmeter.threads.ThreadGroup: Started thread group number 3 
2016/07/31 17:20:58 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2016/07/31 17:21:00 INFO  - jmeter.threads.JMeterThread: Thread started: App我的 3-1 
2016/07/31 17:21:00 INFO  - jmeter.threads.JMeterThread: Thread started: 商品相关 2-1 
2016/07/31 17:21:04 INFO  - jmeter.threads.JMeterThread: Thread is done: 登录 1-1 
2016/07/31 17:21:04 INFO  - jmeter.threads.JMeterThread: Thread finished: 登录 1-1 
2016/07/31 17:21:05 INFO  - jmeter.threads.JMeterThread: Stopping because end time detected by thread: App我的 3-1 
2016/07/31 17:21:05 INFO  - jmeter.threads.JMeterThread: Thread is done: App我的 3-1 
2016/07/31 17:21:05 INFO  - jmeter.threads.JMeterThread: Thread finished: App我的 3-1 
2016/07/31 17:21:05 INFO  - jmeter.threads.JMeterThread: Thread is done: 商品相关 2-1 
2016/07/31 17:21:05 INFO  - jmeter.threads.JMeterThread: Thread finished: 商品相关 2-1 
2016/07/31 17:21:05 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2016/07/31 17:21:05 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2016/07/31 17:21:45 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2016/07/31 17:21:45 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2016/07/31 17:21:45 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2016/07/31 17:21:45 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : 登录 
2016/07/31 17:21:45 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group 登录. 
2016/07/31 17:21:45 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2016/07/31 17:21:45 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2016/07/31 17:21:45 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2016/07/31 17:21:45 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 2 : 商品相关 
2016/07/31 17:21:45 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group 商品相关. 
2016/07/31 17:21:45 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2016/07/31 17:21:45 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 2 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2016/07/31 17:21:45 INFO  - jmeter.threads.JMeterThread: Thread started: 登录 1-1 
2016/07/31 17:21:45 INFO  - jmeter.threads.ThreadGroup: Started thread group number 2 
2016/07/31 17:21:45 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 3 : App我的 
2016/07/31 17:21:45 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group App我的. 
2016/07/31 17:21:45 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2016/07/31 17:21:45 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 3 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2016/07/31 17:21:45 INFO  - jmeter.threads.ThreadGroup: Started thread group number 3 
2016/07/31 17:21:45 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2016/07/31 17:21:46 INFO  - jmeter.threads.JMeterThread: Thread is done: 登录 1-1 
2016/07/31 17:21:46 INFO  - jmeter.threads.JMeterThread: Thread finished: 登录 1-1 
2016/07/31 17:21:47 INFO  - jmeter.threads.JMeterThread: Thread started: 商品相关 2-1 
2016/07/31 17:21:47 INFO  - jmeter.threads.JMeterThread: Thread started: App我的 3-1 
2016/07/31 17:21:48 INFO  - jmeter.threads.JMeterThread: Stopping because end time detected by thread: App我的 3-1 
2016/07/31 17:21:48 INFO  - jmeter.threads.JMeterThread: Thread is done: App我的 3-1 
2016/07/31 17:21:48 INFO  - jmeter.threads.JMeterThread: Thread finished: App我的 3-1 
2016/07/31 17:21:49 INFO  - jmeter.threads.JMeterThread: Thread is done: 商品相关 2-1 
2016/07/31 17:21:49 INFO  - jmeter.threads.JMeterThread: Thread finished: 商品相关 2-1 
2016/07/31 17:21:49 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2016/07/31 17:21:49 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
